ttest_pvalue_adj	mwu_pvalue_adj	log2enr	gex_cluster	tcr_cluster	feature	mean_fg	mean_bg	num_fg	clone_index	mait_fraction	nbr_frac	graph_type
6.434512578042254e-47	6.581905627205567e-150	4.135562319333523	2	11	EPHB6	1.6006747484207153	0.20301981270313263	174	-1	0.0	0.0	tcr_cluster
7.213953537738562e-25	4.6162382434260475e-56	2.225136100944901	0	11	EPHB6	0.7022349834442139	0.19703254103660583	546	64	0.0	0.1	tcr_nbr
4.331437543172891e-24	1.7971651859344946e-53	2.220297396062772	0	11	EPHB6	0.700947642326355	0.1971757858991623	546	5292	0.0	0.1	tcr_nbr
8.827139719978286e-24	6.510749032717962e-53	2.1954809813596716	0	11	EPHB6	0.6943615674972534	0.19790861010551453	546	1633	0.0	0.1	tcr_nbr
1.1486878267872212e-23	1.2682766396636986e-52	2.189814255523256	0	11	EPHB6	0.6928614974021912	0.19807550311088562	546	4084	0.0	0.1	tcr_nbr
2.458814735246994e-23	4.185176175850563e-52	2.1750328990481043	0	11	EPHB6	0.6889556050300598	0.19851012527942657	546	4955	0.0	0.1	tcr_nbr
2.511825535352325e-23	2.0340057428858488e-51	2.176361378659551	0	11	EPHB6	0.6893062591552734	0.19847111403942108	546	5127	0.0	0.1	tcr_nbr
4.588023078652615e-23	4.254086653840397e-51	2.16202110152619	0	11	EPHB6	0.6855254769325256	0.1988917887210846	546	2594	0.0	0.1	tcr_nbr
7.188065364012053e-23	5.630096129721732e-50	2.180851936465873	0	11	EPHB6	0.6904920935630798	0.19833916425704956	546	2577	0.0	0.1	tcr_nbr
1.0237395443513217e-22	7.253434499851568e-50	2.1487623191069254	0	11	EPHB6	0.6820382475852966	0.19927982985973358	546	5133	0.0	0.1	tcr_nbr
2.8269409877665807e-22	9.040627403038424e-50	2.1247623682515346	0	11	EPHB6	0.6757464408874512	0.19997990131378174	546	2184	0.0	0.1	tcr_nbr
2.526717156661159e-22	3.156969273325711e-49	2.133864866042792	0	11	EPHB6	0.6781296133995056	0.19971473515033722	546	583	0.0	0.1	tcr_nbr
3.3784661002064376e-22	6.635244753034392e-49	2.131312727300239	0	11	EPHB6	0.6774610280990601	0.1997891217470169	546	4017	0.0	0.1	tcr_nbr
5.553556600001945e-22	6.649063745221548e-49	2.1121053979673525	0	11	EPHB6	0.6724390983581543	0.2003479152917862	546	4953	0.0	0.1	tcr_nbr
3.471103353452772e-22	2.1743510337015504e-48	2.1589416866809295	0	11	EPHB6	0.6847148537635803	0.19898200035095215	546	4625	0.0	0.1	tcr_nbr
5.886370928066438e-22	4.522479633033218e-48	2.140554511710681	0	11	EPHB6	0.6798834800720215	0.1995195746421814	546	4441	0.0	0.1	tcr_nbr
6.59154028753444e-22	5.1311093745003507e-48	2.12944212208873	0	11	EPHB6	0.6769711971282959	0.199843630194664	546	4972	0.0	0.1	tcr_nbr
4.695350357638235e-22	5.155876540471992e-48	2.136192226563271	0	11	EPHB6	0.6787395477294922	0.19964686036109924	546	2714	0.0	0.1	tcr_nbr
1.3043865028466449e-21	3.472779869230133e-47	2.111535842360178	0	11	EPHB6	0.6722904443740845	0.20036445558071136	546	1815	0.0	0.1	tcr_nbr
1.5107643509395415e-21	8.170211281317429e-47	2.1265683628344467	0	11	EPHB6	0.6762189865112305	0.19992733001708984	546	4508	0.0	0.1	tcr_nbr
7.33351010126903e-22	8.251195779439607e-47	2.157862677046375	0	11	EPHB6	0.6844308972358704	0.1990135908126831	546	1592	0.0	0.1	tcr_nbr
1.288987206255724e-21	1.7684903761902807e-46	2.1262554596249985	0	11	EPHB6	0.6761370897293091	0.19993643462657928	546	1751	0.0	0.1	tcr_nbr
6.304879135767941e-21	2.8860664607996202e-46	2.033352721235345	0	11	EPHB6	0.6520304083824158	0.2026187777519226	546	4193	0.0	0.1	tcr_nbr
4.2021200266369716e-21	3.422494579190414e-46	2.0873849440541927	0	11	EPHB6	0.6660010814666748	0.20106425881385803	546	1269	0.0	0.1	tcr_nbr
3.5926070336250056e-21	3.849751723741044e-46	2.0983572772953027	0	11	EPHB6	0.6688551306724548	0.20074671506881714	546	3278	0.0	0.1	tcr_nbr
2.292967371451239e-21	4.49249095071701e-46	2.1183747154513446	0	11	EPHB6	0.6740763783454895	0.2001657336950302	546	4341	0.0	0.1	tcr_nbr
2.5922618261869812e-21	9.158379612217339e-46	2.1183341393190007	0	11	EPHB6	0.6740657687187195	0.20016691088676453	546	4200	0.0	0.1	tcr_nbr
3.3344820787204994e-21	1.421634304717149e-45	2.1164497102533635	0	11	EPHB6	0.6735734343528748	0.2002216875553131	546	1655	0.0	0.1	tcr_nbr
3.0684435068821685e-21	1.6581525732344517e-45	2.116612655538658	0	11	EPHB6	0.6736159920692444	0.20021694898605347	546	1723	0.0	0.1	tcr_nbr
7.541337043447601e-21	2.371486062973786e-45	2.1030752966005744	0	11	EPHB6	0.6700840592384338	0.2006099671125412	546	4424	0.0	0.1	tcr_nbr
8.35847332338729e-21	2.764192328903731e-45	2.0798824157399647	0	11	EPHB6	0.6640529036521912	0.20128104090690613	546	4642	0.0	0.1	tcr_nbr
5.980131779297771e-21	4.4114986546792514e-45	2.098973139854193	0	11	EPHB6	0.6690154671669006	0.2007288634777069	546	4583	0.0	0.1	tcr_nbr
