"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATP2B1",0.000164678632115842,-1.23404065678162,0.262,0.364,1
"LRRC28",0.000174920093718231,-1.10349662877971,0.056,0.273,1
"SUV39H1",0.000206600993190667,-1.26080785065968,0.028,0.182,1
"RPS26",0.000211509906155851,-0.147698909807356,0.981,0.964,1
"RNF139-AS1",0.000246795445008272,-1.56257900622556,0,0.127,1
"RELCH",0.000352709980595514,-1.16404694440841,0.084,0.327,1
"CDK14",0.000378681267350404,2.18654516800443,0.159,0,1
"TEP1",0.000487052148537107,1.89191866438127,0.131,0,1
"CA8",0.000945995871078556,-1.78972283234967,0.009,0.164,1
"TPST2",0.000980823378668871,1.1589696099311,0.514,0.291,1
"ZNF765",0.000986595243174523,-1.18838966061669,0.009,0.127,1
"DYRK1B",0.00156990928757422,1.92170795484456,0.187,0.018,1
"EHBP1L1",0.00178548223764584,1.77675801787262,0.224,0.073,1
"DOLK",0.0019027710764671,1.35088097503305,0.084,0,1
"PHRF1",0.00257048349409762,-1.72360504451885,0.047,0.255,1
"DAXX",0.00258783722454562,-0.961085696166468,0.159,0.4,1
"LPCAT4",0.00276335432313231,-1.33085819166982,0.159,0.309,1
"CHPF2",0.0028152170171944,-1.48686927065542,0.112,0.309,1
"MRPS35",0.00291429303189459,-1.0001973766011,0.234,0.491,1
"EGR3",0.00298488600782915,1.73347879238523,0.084,0,1
"ACSL3",0.0029890671153357,-1.29337911454557,0.075,0.291,1
"AL109914.1",0.0036033383052864,1.33894392871834,0.084,0,1
"RANBP2",0.00388833792557266,-0.59696463619153,0.308,0.564,1
"C1orf35",0.00398508806421079,-0.507434654080134,0.159,0.345,1
"MON1A",0.00423873197566839,-1.3370389363115,0,0.091,1
"AIMP1",0.0042881243830515,-0.93007691095534,0.29,0.509,1
"GLS",0.00440261581094881,0.0974142522615569,0.514,0.673,1
"TMEM254-AS1",0.00440885563080083,-0.952015942155327,0,0.055,1
"HMGA1P4",0.00460935852578486,-1.17358686815176,0,0.073,1
"TADA2A",0.00467823697716872,-0.86545051352272,0.121,0.273,1
"ANKEF1",0.00473556358707513,-1.59378437544388,0,0.073,1
"SDAD1",0.00479876048305129,1.53539532903902,0.262,0.091,1
"AQP3",0.00486259905613154,-0.104825947177547,0.383,0.6,1
"WBP2",0.00497957118198963,-0.322554360567649,0.402,0.618,1
"CSNK1E",0.00524668268919665,0.123814715405333,0.187,0.291,1
"RFESD",0.00526321142527584,-0.890162099769618,0,0.073,1
"JUND",0.00532565623206084,0.391286972997519,0.935,0.909,1
"POLR2J3",0.00549810515585733,-0.996928270104991,0.28,0.509,1
"M6PR",0.00556813797521274,0.165711747739839,0.589,0.709,1
"RPL8",0.00563850401239618,0.358348127439652,1,0.982,1
"TDRD3",0.00572487394148653,-1.00662829936583,0.037,0.2,1
"TMED9",0.00649544841406111,-0.0529110547968694,0.636,0.491,1
"PAFAH2",0.00656582585127822,1.2819582838861,0.093,0,1
"TCEANC2",0.00696679141796691,-0.494004235066384,0.009,0.073,1
"UBAC2",0.00698046844908221,0.47170881584718,0.402,0.418,1
"BZW1",0.00709649104377179,0.336651421531331,0.607,0.655,1
"UFL1",0.00721895044757134,-0.546805690298313,0.234,0.364,1
"AC072061.1",0.00739560991129971,1.16391796551565,0.084,0,1
"AC131971.1",0.00742002314391338,-1.03105331334396,0.093,0.273,1
"ITGB2-AS1",0.00773250254159161,-0.517272821500342,0.729,0.655,1
"S100PBP",0.00775222222312746,0.995101337164363,0.224,0.055,1
"ZEB1",0.00788195248011555,-0.902458025365525,0.15,0.345,1
"RABGAP1",0.00807525426648397,-0.959445060923104,0.159,0.382,1
"HIST1H4C",0.0081214759121632,-0.362189150739427,0.888,0.709,1
"GNAS",0.0081740296422674,0.326785096095774,0.991,0.891,1
"ARF6",0.00834716652723897,-0.148513479530259,0.645,0.836,1
