"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",0.000110120456799814,0.0422635568387357,0.5,0.442,1
"ACAP3",0.000221987118647952,-1.73523868399475,0,0.192,1
"NDUFC2",0.000280563706706512,0.707580967583217,0.718,0.558,1
"RELCH",0.000329765792546692,-1.66605761204808,0.115,0.423,1
"AGL",0.000579068811043409,-1.53408302501474,0,0.096,1
"DLG1",0.000672677472820301,1.13323483717799,0.385,0.212,1
"TRMT10C",0.000752734161374539,0.87409269187169,0.244,0.115,1
"ZNF345",0.000806725479478112,-1.45042013494431,0.026,0.154,1
"PRR14",0.000847069952613946,1.39248605448402,0.231,0.077,1
"RPL5",0.000932174187014363,-0.149667601909093,1,1,1
"RNF146",0.000940932843954947,0.096914328280276,0.192,0.135,1
"FTH1",0.00108791754764367,-0.418920637955721,0.974,1,1
"ANXA1",0.00112876169901749,-2.55417227084139,0.064,0.192,1
"HMCES",0.00120547569576991,0.720768489393684,0.692,0.5,1
"MAGOH",0.00141556988203638,0.733994200775995,0.564,0.423,1
"TBRG1",0.00147167184980362,0.653827852654976,0.603,0.385,1
"ZHX3",0.00158472145654751,-1.33510154281296,0,0.115,1
"PDIA4",0.00163759794458931,0.773734128140357,0.551,0.327,1
"TTC9",0.00177483579927013,-1.45209954504914,0.038,0.173,1
"BCAT2",0.00178175796404853,-1.56198742813891,0.038,0.231,1
"DCTN3",0.00192239733649342,0.508908658636272,0.564,0.442,1
"PAK1IP1",0.00200363970485282,1.24356549358845,0.192,0.058,1
"CEBPZ",0.00202841286526431,0.45739811482843,0.526,0.231,1
"SPRYD7",0.00211781661252047,-0.994259566645052,0,0.077,1
"HLA-A",0.00214002526471203,0.129042334271308,1,1,1
"PRKAR2A",0.00233310296585413,-0.814702556556612,0.103,0.25,1
"MED29",0.00244910997054656,0.715637296219258,0.308,0.212,1
"C16orf54",0.00253512288590954,-0.83523343525035,0.385,0.635,1
"CWC27",0.00259517893554634,0.605093129336,0.205,0.115,1
"SEPTIN6",0.00272898311465759,0.302971688684256,0.885,0.846,1
"RGCC",0.00273653996786067,-1.10245093084856,0.192,0.212,1
"PICK1",0.00275121949142449,-1.31557461061676,0.013,0.154,1
"RPS12",0.00277023312437938,-0.111619304691351,1,1,1
"SON",0.00279215728095111,0.222534259680411,0.974,0.904,1
"ANP32A",0.00288679346715835,0.51967678987749,0.654,0.615,1
"S100A10",0.0028926134240517,-0.778174881587232,0.295,0.327,1
"OASL",0.00290840127628825,0.145402511030651,0.179,0.154,1
"VIM",0.00300322142100663,-1.33242822178738,0.308,0.404,1
"SPTY2D1",0.0031707432877234,1.24969942366644,0.167,0.077,1
"DBP",0.00318892545767857,-0.478538003225215,0.128,0.269,1
"EMC9",0.003261309313266,0.608487091898001,0.295,0.212,1
"VPS25",0.0032748720462594,0.895702658965896,0.436,0.231,1
"CDKL1",0.00333115534090893,-1.13585607908503,0,0.096,1
"RBM15",0.00350827223100781,0.453813116709712,0.167,0.135,1
"TPST2",0.00354291646600049,0.861126279331949,0.423,0.327,1
"RUNX3",0.0035604325104271,0.360473974505999,0.154,0.038,1
"SNX2",0.00357277754788123,1.0088065766777,0.321,0.115,1
"MSANTD3",0.0041310901378569,-1.55991197801675,0.013,0.154,1
"NKTR",0.0041489200021009,-0.789555483747365,0.5,0.692,1
"SHISA5",0.00415674974024677,0.817163946722705,0.679,0.481,1
"PTGER4",0.0042182740879857,-1.27626928732401,0.295,0.423,1
"IGLV2-23",0.00425092701925767,-1.2940326487828,0,0.077,1
"JOSD2",0.00436902403899109,1.20351899878784,0.205,0.058,1
"STRAP",0.00444913983454792,0.74785817453663,0.462,0.327,1
"ZDHHC7",0.00446983599499981,0.397034837122135,0.167,0.096,1
"FAM76A",0.00465204267188746,0.629726224051107,0.179,0.058,1
"PHRF1",0.0046616032343859,-1.37459129848761,0.064,0.288,1
"RPLP0",0.00497536683086737,-0.0872645648905337,1,0.981,1
"ARL6IP4",0.00515741674719669,0.693744314975113,0.897,0.712,1
"MYO9B",0.00524553408307176,1.35615167957745,0.385,0.173,1
"NDUFB2",0.00527564457912238,0.208993529342988,0.872,0.731,1
"NDUFAB1",0.00528507682554092,0.712171484452212,0.679,0.385,1
"S100A4",0.00551974506987298,0.175521858089413,0.692,0.808,1
"NAPG",0.00590338184962801,1.17618595368038,0.205,0.058,1
"CLIC1",0.0063291634932083,-0.174544706609453,0.872,0.827,1
"RETSAT",0.00640751718789435,-1.14439721605717,0,0.096,1
