"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LEF1",0,0.526106584215494,0.809,0.642,0,"0","LEF1"
"NOSIP",0,0.509428617781916,0.795,0.678,0,"0","NOSIP"
"RPS13",0,0.38314194817529,1,0.994,0,"0","RPS13"
"RPS23",0,0.361203299471083,1,0.995,0,"0","RPS23"
"RPS3A",0,0.353504103161085,1,0.996,0,"0","RPS3A"
"RPL30",0,0.343698721710213,1,0.997,0,"0","RPL30"
"RPS14",0,0.341750356839235,1,0.994,0,"0","RPS14"
"RPS5",0,0.340811549468531,0.998,0.99,0,"0","RPS5"
"EEF1B2",0,0.327163106470011,0.995,0.986,0,"0","EEF1B2"
"RPS12",0,0.323608058467426,1,0.997,0,"0","RPS12"
"RPS27A",0,0.323458291744235,1,0.996,0,"0","RPS27A"
"RPL22",0,0.320690197572692,0.998,0.989,0,"0","RPL22"
"RPL32",0,0.319548034367514,1,0.996,0,"0","RPL32"
"RPL35A",0,0.31023487655737,1,0.993,0,"0","RPL35A"
"RPL5",0,0.304084487291216,0.999,0.992,0,"0","RPL5"
"NACA",0,0.298816683822935,0.997,0.989,0,"0","NACA"
"RPL34",0,0.297249622834634,1,0.995,0,"0","RPL34"
"RPL11",0,0.294712959572215,1,0.996,0,"0","RPL11"
"RPL9",0,0.285816466201972,0.998,0.989,0,"0","RPL9"
"RPL14",0,0.273891060575219,0.999,0.994,0,"0","RPL14"
"TPT1",0,0.270679681974958,1,0.996,0,"0","TPT1"
"RPL19",0,0.267831974578132,1,0.996,0,"0","RPL19"
"RPL18",0,0.265809633090266,0.999,0.995,0,"0","RPL18"
"RPS21",0,0.25589935671987,0.999,0.994,0,"0","RPS21"
"RPS15A",0,0.255601926115042,1,0.996,0,"0","RPS15A"
"RPS25",0,0.255581880730935,0.999,0.994,0,"0","RPS25"
"RPL39",0,0.255492903012499,1,0.993,0,"0","RPL39"
"TMSB4X",0,-0.394749745555963,0.999,0.996,0,"0","TMSB4X"
"UBC",0,-0.401722703232066,0.956,0.983,0,"0","UBC"
"HLA-A",0,-0.494656638070497,0.995,0.998,0,"0","HLA-A"
"ST8SIA1",0,-0.50634790782316,0.008,0.165,0,"0","ST8SIA1"
"HSP90AA1",0,-0.518932444874595,0.735,0.891,0,"0","HSP90AA1"
"HNRNPLL",0,-0.523971779857088,0.061,0.254,0,"0","HNRNPLL"
"TUBB4B",0,-0.536598536353567,0.248,0.494,0,"0","TUBB4B"
"CD99",0,-0.550148284110618,0.509,0.723,0,"0","CD99"
"AC004585.1",0,-0.560008775319044,0.005,0.146,0,"0","AC004585.1"
"IL2RB",0,-0.597257071385371,0.056,0.268,0,"0","IL2RB"
"JUND",0,-0.609100690340699,0.938,0.972,0,"0","JUND"
"RILPL2",0,-0.610245949318492,0.117,0.342,0,"0","RILPL2"
"ARID5B",0,-0.610257199775429,0.153,0.375,0,"0","ARID5B"
"YWHAQ",0,-0.621101053417956,0.197,0.432,0,"0","YWHAQ"
"ICOS",0,-0.628381197279168,0.234,0.473,0,"0","ICOS"
"MCL1",0,-0.63758489091375,0.358,0.605,0,"0","MCL1"
"PHACTR2",0,-0.637601171882306,0.091,0.32,0,"0","PHACTR2"
"TNFRSF1B",0,-0.642417332991956,0.088,0.286,0,"0","TNFRSF1B"
"CSRNP1",0,-0.653847151293543,0.352,0.589,0,"0","CSRNP1"
"SH3BGRL3",0,-0.65717279568265,0.784,0.907,0,"0","SH3BGRL3"
"TENT5C",0,-0.657802130716767,0.094,0.333,0,"0","TENT5C"
"IER5",0,-0.658441513723686,0.14,0.363,0,"0","IER5"
"BTG2",0,-0.684625613696224,0.491,0.718,0,"0","BTG2"
"SAT1",0,-0.710856244235959,0.401,0.623,0,"0","SAT1"
"TNFRSF4",0,-0.713193152453089,0.026,0.225,0,"0","TNFRSF4"
"GAPDH",0,-0.718818417214365,0.887,0.945,0,"0","GAPDH"
"JUNB",0,-0.726511335676034,0.924,0.963,0,"0","JUNB"
"EZR",0,-0.730920475654331,0.305,0.58,0,"0","EZR"
"LIMS1",0,-0.757914814345521,0.102,0.335,0,"0","LIMS1"
"FOSB",0,-0.759570806780103,0.552,0.749,0,"0","FOSB"
"PPP1R15A",0,-0.784259641419752,0.577,0.772,0,"0","PPP1R15A"
"RNF19A",0,-0.803466392006598,0.175,0.435,0,"0","RNF19A"
"ITGB1",0,-0.836624973783957,0.086,0.337,0,"0","ITGB1"
"TOX",0,-0.842265292544178,0.032,0.242,0,"0","TOX"
"PASK",0,-0.848856396375701,0.099,0.323,0,"0","PASK"
"MAF",0,-0.85698611786133,0.021,0.256,0,"0","MAF"
"CXCR5",0,-0.8780075645712,0.02,0.23,0,"0","CXCR5"
"AHNAK",0,-0.890593787494205,0.221,0.459,0,"0","AHNAK"
"COTL1",0,-0.89347650335354,0.487,0.698,0,"0","COTL1"
"NR4A2",0,-0.920400679051232,0.45,0.676,0,"0","NR4A2"
"S100A4",0,-0.947893018313471,0.458,0.676,0,"0","S100A4"
"RGS1",0,-0.969985718263507,0.128,0.325,0,"0","RGS1"
"DUSP1",0,-0.99093266455972,0.792,0.914,0,"0","DUSP1"
"KLF6",0,-1.08622715098866,0.586,0.821,0,"0","KLF6"
"TIGIT",0,-1.1158104703972,0.009,0.239,0,"0","TIGIT"
"DUSP2",0,-1.1747096969578,0.279,0.594,0,"0","DUSP2"
"SRGN",0,-1.29708383808141,0.64,0.882,0,"0","SRGN"
"PDCD1",0,-1.34945069572914,0.006,0.213,0,"0","PDCD1"
"JUN",0,-1.35647232465226,0.732,0.88,0,"0","JUN"
"TOX2",0,-1.38772308984099,0.018,0.214,0,"0","TOX2"
"ZFP36",0,-1.74824889081522,0.663,0.864,0,"0","ZFP36"
"GPRIN3",1.55502092630913e-307,-0.514085387283184,0.102,0.302,5.69153209238406e-303,"0","GPRIN3"
"LINC00892",6.8713635785506e-307,-0.512373369107649,0.004,0.143,2.5149877833853e-302,"0","LINC00892"
"CD82",1.97672201873606e-304,-0.576488720092412,0.123,0.327,7.23500026077585e-300,"0","CD82"
"FYN",4.9658358496968e-303,-0.572802155177173,0.516,0.712,1.81754557934753e-298,"0","FYN"
"RPL21",1.30427651519791e-299,0.286892694746585,0.993,0.984,4.77378247327585e-295,"0","RPL21"
"GLCCI1",1.67310415485978e-298,-0.59547498568299,0.137,0.339,6.12372851720229e-294,"0","GLCCI1"
"DYNLL1",6.64681126556421e-294,-0.565360109004358,0.165,0.372,2.43279939130916e-289,"0","DYNLL1"
"SNHG29",6.0893641505168e-293,0.381490389434958,0.93,0.884,2.22876817273065e-288,"0","SNHG29"
"CTSA",4.92772961827808e-292,-0.526013972834486,0.109,0.304,1.80359831758596e-287,"0","CTSA"
"NPDC1",4.43985347534552e-287,-0.376344004018682,0.009,0.145,1.62503077051121e-282,"0","NPDC1"
"IER2",6.09515283976971e-287,-0.768159985005811,0.557,0.757,2.23088689088411e-282,"0","IER2"
"PPP2R5C",1.825718864071e-283,-0.56423627151734,0.28,0.501,6.68231361438628e-279,"0","PPP2R5C"
"PYHIN1",1.64607347407119e-282,-0.460646844776151,0.065,0.239,6.02479352244795e-278,"0","PYHIN1"
"CST7",2.63758508954657e-281,-0.49508987892546,0.003,0.132,9.65382518624938e-277,"0","CST7"
"NFKBIA",7.91254624356033e-280,-0.816087427381079,0.702,0.825,2.89607105060552e-275,"0","NFKBIA"
"CDKN1A",2.77668222821689e-279,-0.796519150776067,0.012,0.146,1.01629346234966e-274,"0","CDKN1A"
"LINC00861",1.04605512535774e-278,0.530597681836351,0.612,0.451,3.82866636432188e-274,"0","LINC00861"
"IL32",1.00642033424604e-275,-0.820085355433125,0.676,0.798,3.68359906537393e-271,"0","IL32"
"SYNE2",1.4972779854819e-275,-0.558878805313791,0.208,0.422,5.48018715466232e-271,"0","SYNE2"
"EEF1G",1.59356180349431e-272,0.267322357759246,0.988,0.981,5.83259555696952e-268,"0","EEF1G"
"CLIC1",2.32551131713549e-270,-0.528786433329706,0.328,0.543,8.51160397184762e-266,"0","CLIC1"
"H3F3B",3.46896652365452e-269,-0.380320363994372,0.948,0.978,1.26967643732279e-264,"0","H3F3B"
"IGFBP4",1.73664608858251e-267,-0.521838878875794,0.001,0.121,6.35629834882083e-263,"0","IGFBP4"
"PREX1",5.55589054788401e-266,-0.404157841990456,0.048,0.206,2.03351149943103e-261,"0","PREX1"
"CD84",2.29751015894324e-265,-0.430004355563833,0.039,0.189,8.40911693274814e-261,"0","CD84"
"TRABD2A",4.97964275935507e-265,0.510166743263013,0.518,0.354,1.82259904635155e-260,"0","TRABD2A"
"LINC00963",2.06366702332107e-262,-0.346252089125386,0.011,0.139,7.55322767205743e-258,"0","LINC00963"
"SMCO4",2.9537898186528e-262,-0.404419366619241,0.002,0.122,1.08111661152511e-257,"0","SMCO4"
"NR3C1",2.47219671544609e-260,-0.555910822944632,0.317,0.528,9.04848719820422e-256,"0","NR3C1"
"ABLIM1",6.14165830409393e-254,0.4458249903344,0.748,0.63,2.24790835588142e-249,"0","ABLIM1"
"CD2",3.25121745545093e-246,-0.605678455328423,0.536,0.697,1.18997810086959e-241,"0","CD2"
"SH2D1A",9.43917267211462e-246,-0.721216579574181,0.122,0.293,3.45483158972067e-241,"0","SH2D1A"
"CTLA4",2.22873404467608e-245,-0.749323272873348,0.096,0.26,8.15738947691892e-241,"0","CTLA4"
"CD69",8.39561170609303e-244,-0.595615947662846,0.83,0.908,3.07287784054711e-239,"0","CD69"
